exp,nflows,alg,media_sa,media_sb
0,2,ns3::TcpCubic,0.528416,0.251277
1,2,ns3::TcpCubic,0.422797,0.380506
2,2,ns3::TcpCubic,0.60761,0.196819
3,2,ns3::TcpCubic,0.501696,0.29673
4,2,ns3::TcpCubic,0.554438,0.248704
5,2,ns3::TcpCubic,0.535571,0.270573
6,2,ns3::TcpCubic,0.344755,0.458387
7,2,ns3::TcpCubic,0.445094,0.310022
8,2,ns3::TcpCubic,0.466106,0.339181
9,2,ns3::TcpCubic,0.620474,0.152653
10,2,ns3::TcpNewReno,0.434605,0.35673
11,2,ns3::TcpNewReno,0.454099,0.354054
12,2,ns3::TcpNewReno,0.315168,0.316813
13,2,ns3::TcpNewReno,0.552352,0.21097
14,2,ns3::TcpNewReno,0.405216,0.398093
15,2,ns3::TcpNewReno,0.43952,0.349901
16,2,ns3::TcpNewReno,0.400928,0.397498
17,2,ns3::TcpNewReno,0.544685,0.220403
18,2,ns3::TcpNewReno,0.422797,0.339181
19,2,ns3::TcpNewReno,0.277005,0.526752
20,4,ns3::TcpCubic,0.26607,0.126282
21,4,ns3::TcpCubic,0.231123,0.167232
22,4,ns3::TcpCubic,0.258352,0.143005
23,4,ns3::TcpCubic,0.256208,0.144506
24,4,ns3::TcpCubic,0.244416,0.158656
25,4,ns3::TcpCubic,0.266499,0.135286
26,4,ns3::TcpCubic,0.2144,0.184598
27,4,ns3::TcpCubic,0.193603,0.200035
28,4,ns3::TcpCubic,0.18031,0.220832
29,4,ns3::TcpCubic,0.248918,0.15201
30,4,ns3::TcpNewReno,0.258566,0.14472
31,4,ns3::TcpNewReno,0.278934,0.122208
32,4,ns3::TcpNewReno,0.256208,0.146006
33,4,ns3::TcpNewReno,0.238198,0.165302
34,4,ns3::TcpNewReno,0.246346,0.156512
35,4,ns3::TcpNewReno,0.232838,0.169805
36,4,ns3::TcpNewReno,0.213328,0.186742
37,4,ns3::TcpNewReno,0.222333,0.180739
38,4,ns3::TcpNewReno,0.292013,0.11063
39,4,ns3::TcpNewReno,0.271002,0.132714
40,6,ns3::TcpCubic,0.171234,0.094336
41,6,ns3::TcpCubic,0.163802,0.100339
42,6,ns3::TcpCubic,0.1881,0.0788992
43,6,ns3::TcpCubic,0.150795,0.116062
44,6,ns3::TcpCubic,0.188386,0.0768981
45,6,ns3::TcpCubic,0.172949,0.0957653
46,6,ns3::TcpCubic,0.183955,0.0830443
47,6,ns3::TcpCubic,0.180954,0.0853312
48,6,ns3::TcpCubic,0.184384,0.0831872
49,6,ns3::TcpCubic,0.182383,0.0834731
50,6,ns3::TcpNewReno,0.180239,0.0874752
51,6,ns3::TcpNewReno,0.155511,0.11306
52,6,ns3::TcpNewReno,0.174236,0.0927637
53,6,ns3::TcpNewReno,0.15737,0.110345
54,6,ns3::TcpNewReno,0.145935,0.119349
55,6,ns3::TcpNewReno,0.13936,0.127639
56,6,ns3::TcpNewReno,0.170662,0.0974805
57,6,ns3::TcpNewReno,0.155083,0.112631
58,6,ns3::TcpNewReno,0.158084,0.109773
59,6,ns3::TcpNewReno,0.128211,0.13936
60,8,ns3::TcpCubic,0.135072,0.065928
61,8,ns3::TcpCubic,0.126389,0.0736464
62,8,ns3::TcpCubic,0.116848,0.079864
63,8,ns3::TcpCubic,0.109558,0.0843664
64,8,ns3::TcpCubic,0.125853,0.0760048
65,8,ns3::TcpCubic,0.113096,0.0858672
66,8,ns3::TcpCubic,0.118456,0.0821152
67,8,ns3::TcpCubic,0.122101,0.0710736
68,8,ns3::TcpCubic,0.119742,0.0786848
69,8,ns3::TcpCubic,0.122315,0.0763264
70,8,ns3::TcpNewReno,0.108058,0.093264
71,8,ns3::TcpNewReno,0.095944,0.104413
72,8,ns3::TcpNewReno,0.117384,0.082008
73,8,ns3::TcpNewReno,0.116955,0.0837232
74,8,ns3::TcpNewReno,0.113096,0.0877968
75,8,ns3::TcpNewReno,0.126925,0.0736464
76,8,ns3::TcpNewReno,0.130141,0.0705376
77,8,ns3::TcpNewReno,0.133357,0.0672144
78,8,ns3::TcpNewReno,0.0994816,0.10184
79,8,ns3::TcpNewReno,0.111702,0.0894048
